"filename", "language", "Dart", "XML", "comment", "blank", "total"
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/opt_notifications.dart", "Dart", 84, 0, 1, 4, 89
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/signup.dart", "Dart", 219, 0, 17, 5, 241
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/splash.dart", "Dart", 55, 0, 7, 4, 66
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/verify_email.dart", "Dart", 76, 0, 10, 3, 89
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/welcome.dart", "Dart", 70, 0, 0, 4, 74
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/screens/wishlist.dart", "Dart", 117, 0, 7, 5, 129
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/bottom_navigation.dart", "Dart", 108, 0, 0, 8, 116
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/buttons/disabled_button.dart", "Dart", 40, 0, 0, 4, 44
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/buttons/primary_button.dart", "Dart", 40, 0, 0, 4, 44
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/buttons/secondary_button.dart", "Dart", 39, 0, 0, 3, 42
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/buttons/warning_button.dart", "Dart", 40, 0, 0, 4, 44
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/dashboard_gym_card.dart", "Dart", 0, 0, 0, 1, 1
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/equipment_breakdown_card.dart", "Dart", 0, 0, 0, 1, 1
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/equipment_card.dart", "Dart", 102, 0, 2, 4, 108
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/gym_stats_card.dart", "Dart", 97, 0, 3, 4, 104
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/upgrade_overlay_card.dart", "Dart", 0, 0, 0, 1, 1
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/cards/wishlist_item_card.dart", "Dart", 80, 0, 0, 4, 84
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/dashboard_gym_card.dart", "Dart", 90, 0, 0, 4, 94
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/dashboard_piechart.dart", "Dart", 95, 0, 0, 7, 102
"/Users/andrewbridwell/Dev/Flex_Gym_Inventory/flex_gym_inventory/lib/src/widgets/floating_bottom_nav.dart", "Dart", 80, 0, 0, 5, 85
